	ИЗОБРАЖЕНИЕ	ИСТОЧНИК	ВОЗРАСТ ИСПОЛНИТЕЛЯ	ТЕКСТ ИСПОЛНИТЕЛЯ
0	https://cdn.pixabay.com/photo/2017/05/04/16/37/meeting-2284501_960_720.jpg	https://pixabay.com/ru/photos/%d0%b2%d1%81%d1%82%d1%80%d0%b5%d1%87%d0%b0-%d0%b1%d0%b8%d0%b7%d0%bd%d0%b5%d1%81-%d0%b0%d1%80%d1%85%d0%b8%d1%82%d0%b5%d0%ba%d1%82%d0%be%d1%80-%d0%be%d1%84%d0%b8%d1%81-2284501/	18	На изображении мы видим стол за которым сидят троя людей. По изображению понятно, что люди занимаются планированием архитектурного сооружения. Судя по тому, что человек стоит на колене, работа находится в спешке.
1	https://cdn.pixabay.com/photo/2016/11/21/16/19/boy-1846236_960_720.jpg	https://pixabay.com/ru/photos/%d0%bc%d0%b0%d0%bb%d1%8c%d1%87%d0%b8%d0%ba-%d0%ba%d0%be%d0%bd%d1%82%d1%80%d0%b5%d0%b9%d0%bb%d0%b5%d1%80%d0%bd%d1%8b%d0%b9-1846236/	19	На солнечной покрытой зеленой травкой поляне гуляли мама и сын.Малышу было очень весело и он громко смеялся.Он радовался что наконец то наступило лето и можно гулять от заката до рассвет и наслаждаться запахами цветов и леса.Им очень нравилось слушать пение птиц и где то в глубине леса постукивания дятла.
2	https://cdn.pixabay.com/photo/2016/07/11/15/43/woman-1509956_960_720.jpg	https://pixabay.com/ru/photos/%d0%b6%d0%b5%d0%bd%d1%89%d0%b8%d0%bd%d0%b0-%d0%bf%d0%be%d0%bb%d0%b5-%d1%81%d0%be%d0%bb%d0%bd%d0%b5%d1%87%d0%bd%d1%8b%d0%b9-%d1%81%d0%b2%d0%b5%d1%82-%d0%bc%d0%be%d0%b4%d0%b0-1509956/	19	Девушка сидит на полянке. На полянке растут ромашки и другие полевые цветы. Вдали светит солнце и за деревьями виднеется домик. На девушке летнее белое платье и шляпка с цветком. Она сидит к нам спиной, но я думаю, что она сидит с улыбкой на лице. Мне бы хотелось оказаться рядом с ней.
3	https://cdn.pixabay.com/photo/2017/08/01/20/52/people-2567915_960_720.jpg	https://pixabay.com/ru/photos/%D0%BB%D1%8E%D0%B4%D0%B8-%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%D1%8B-%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%8F%D1%89%D0%B8%D0%B9-%D1%81%D0%BC%D0%B5%D1%85-2567915/	20	три девушки стоят на улице и смеются. на улице предположительно вечер. так как закатное солнце падает прямо на них. фотография теплая и позитивная. девушки прилично одеты и симпатичные. предположительно, что они болтают с мужчиной в шляпе.
4	https://cdn.pixabay.com/photo/2016/11/29/04/16/beach-1867271_960_720.jpg	https://pixabay.com/ru/photos/%d0%bf%d0%bb%d1%8f%d0%b6-%d1%81%d0%b5%d0%bc%d1%8c%d1%8f-%d0%b2%d0%b5%d1%81%d0%b5%d0%bb%d1%8c%d0%b5-%d0%b4%d0%be%d1%81%d1%83%d0%b3-%d0%be%d0%ba%d0%b5%d0%b0%d0%bd-1867271/	20	С первого взгляда на картинке можно увидеть трёх человек и море. Скорее всего это семья на отдыхе. Предположительно мама, папа и дочь поехать в отпуск. На картинке можно увидеть пляж, красивое море и ярко палящее солнце. По изображению понятно, что в этом месте очень тепло. Можно сказать, что это счастливая семья.
5	https://cdn.pixabay.com/photo/2015/09/05/07/53/street-performer-924003_960_720.jpg	https://pixabay.com/ru/photos/%d1%83%d0%bb%d0%b8%d1%87%d0%bd%d1%8b%d0%b9-%d0%b0%d1%80%d1%82%d0%b8%d1%81%d1%82-%d0%bc%d1%83%d0%b7%d1%8b%d0%ba%d0%b0%d0%bd%d1%82-%d1%81%d0%ba%d1%80%d0%b8%d0%bf%d0%ba%d0%b0-924003/	21	Музыкант играет на скрипке под мостом. Люди идут мимо. Ему очень неудобно сидеть, но надо играть, так как очень нужны деньги. А люди все проходят и проходят мимо.Черно-белый фон навевает печаль. Где-то есть свет, но старик сидит в тени.
6	https://cdn.pixabay.com/photo/2016/11/18/15/44/audience-1835431_960_720.jpg	https://pixabay.com/ru/photos/%d0%b0%d1%83%d0%b4%d0%b8%d1%82%d0%be%d1%80%d0%b8%d1%8f-%d0%ba%d0%be%d0%bd%d1%86%d0%b5%d1%80%d1%82-%d0%b3%d0%b8%d1%82%d0%b0%d1%80%d0%b0-%d0%b3%d0%b8%d1%82%d0%b0%d1%80%d0%b8%d1%81%d1%82-1835431/	21	Молодой парень лет двадцати пяти выступает на сцене. Скорее-всего он исполнитель рока, судя по его гитаре. Возможно выступает целая группа и данный молодой человек является лишь гитаристом, который единственный попал в кадр. Публика восхищается музыкантом, это можно видеть по аплодирующим людям, располагающихся вблизи сцены. Судя по улыбающимся лицам публики, рок-концерт удался!
7	https://cdn.pixabay.com/photo/2016/01/14/06/09/woman-1139397_960_720.jpg	https://pixabay.com/ru/photos/%d0%b6%d0%b5%d0%bd%d1%89%d0%b8%d0%bd%d0%b0-%d0%b3%d0%b8%d1%82%d0%b0%d1%80%d0%b0-%d0%bc%d1%83%d0%b7%d1%8b%d0%ba%d0%b0-1139397/	21	Молодая девушка на вид двадцати трёх лет сидит у забора. Она имеет довольно-таки длинные волосы с переходом от тёмного цвета к светлому, в её руках обычная акустическая гитара. Вероятнее всего девушка решила уединиться, так как выбрала очень тихое место для пребывания. По одежде и обуви девушки можно понять, что скорее-всего она живёт в каком-либо посёлке. Расположению рук девушки говорит, что с гитарой она умеет обращаться.
8	https://cdn.pixabay.com/photo/2016/11/29/04/16/beach-1867271_960_720.jpg	https://pixabay.com/ru/photos/%d0%bf%d0%bb%d1%8f%d0%b6-%d1%81%d0%b5%d0%bc%d1%8c%d1%8f-%d0%b2%d0%b5%d1%81%d0%b5%d0%bb%d1%8c%d0%b5-%d0%b4%d0%be%d1%81%d1%83%d0%b3-%d0%be%d0%ba%d0%b5%d0%b0%d0%bd-1867271/	21	Дружная семья на море.  Бирюзовое море слегка штормит. Странно, что нет следов семьи на песке. Солнце светит не ярко, видимо ещё ранее утро. Глядя на картину, хочется в отпуск и на море.
9	https://cdn.pixabay.com/photo/2021/08/19/14/00/field-6558125_960_720.jpg	https://pixabay.com/ru/photos/%d0%bf%d0%be%d0%bb%d0%b5-%d1%80%d0%b5%d0%b1%d0%b5%d0%bd%d0%be%d0%ba-%d0%b2%d0%b5%d0%bb%d0%be%d1%81%d0%b8%d0%bf%d0%b5%d0%b4-6558125/	21	На картинке изображен летний вечер. Мальчик вышел на прогулку и с радостью запускает воздушного змея в воздухе. Прекрасное летнее настроение и беззаботная пора. На каникулах самое лучшее время для того чтобы веселиться. Змей кружится, летает, паря в воздухе. Солнце уже заходит за горизонт, закат на небе очень красиво освещает воздушного змея. Воздушный змей похож на самолет. Также на картинке изображен велосипед, на котором мальчик приехал на поляну. Чудесное время года. На улице еще тепло, хотя время близится к вечеру. Скоро он пойдет домой.
